name,short_name,iata,icao,flight_area_class,type,city,opened,lat,lon
河池金城江机场,河池金城江,HCJ,ZGHC,4C,民用,河池市,2014-08-28,24.804344,107.710819
郴州北湖机场,郴州北湖,HCZ,ZGCZ,4C,民用,郴州市,2021-09-16,25.753419,112.845404
邯郸机场,邯郸,HDG,ZBHD,4C,民用,邯郸市,2007-08-08,36.524824,114.424126
黑河瑷珲机场,黑河瑷珲,HEK,ZYHE,4C,民用,黑河市,2001-09-30,50.171621,127.308884
和静巴音布鲁克机场,巴音布鲁克,HJB,ZWHJ,4C,民用,巴音布鲁克镇,2024-08-20,42.976395,83.995543
怀化芷江机场,怀化芷江,HJJ,ZGCJ,4C,军民合用,怀化市,2005-12-19,27.443087,109.704666
乌兰浩特义勒力特机场,乌兰浩特,HLH,ZBUL,4C,民用,乌兰浩特市,1995-04-05,46.195333,122.008333
哈密伊州机场,哈密伊州,HMI,ZWHM,4C,军民合用,哈密市,2008-12-16,42.8414,93.669197
衡阳南岳机场,衡阳南岳,HNY,ZGHY,4C,民用,衡阳市,2014-12-23,26.72208,112.617958
神农架红坪机场,神农架红坪,HPG,ZHSN,4C,民用,神农架林区,2014-05-08,31.626,110.34
塔什库尔干红其拉甫机场,塔什库尔干,HQL,ZWTK,4C,军民合用,塔什库尔干塔吉克自治县,2022-12-23,37.661333,75.288877
安阳红旗渠机场,安阳红旗渠,HQQ,ZHQQ,4C,民用,安阳市,2023-11-29,35.870833,114.461944
韶关丹霞机场,韶关丹霞,HSC,ZGSG,4C,军民合用,韶关市,2021-11-27,24.9786,113.420998
绥芬河东宁机场,绥芬河,HSF,ZYSD,4C,民用,绥芬河市 东宁市,2024-12-28,44.453889,130.843889
海西茫崖机场,海西茫崖,HTT,ZLHX,4C,民用,茫崖市,2015-06-26,38.201645,90.837843
霍林郭勒霍林河机场,霍林郭勒霍林河,HUO,ZBHZ,4C,民用,霍林郭勒市,2017-06-02,45.487222,119.407222
惠州平潭机场,惠州平潭,HUZ,ZGHZ,4C,军民合用,惠州市,2015-02-05,23.049999,114.599998
海西德令哈机场,海西德令哈,HXD,ZLDL,4C,民用,德令哈市,2014-06-16,37.125286,97.268658
台州路桥机场,台州路桥,HYN,ZSLQ,4C,军民合用,台州市,1987-12-02,28.562201,121.429001
菏泽牡丹机场,菏泽牡丹,HZA,ZSHZ,4C,民用,菏泽市,2021-04-02,35.212972,115.736748
汉中城固机场,汉中城固,HZG,ZLHZ,4C,军民合用,汉中市,2014-08-13,33.133527,107.203817
黔东南黎平机场,黎平,HZH,ZUNP,4C,民用,黎平县,2005-11-06,26.32217,109.1499
且末玉都机场,且末玉都,IQM,ZWCM,4C,军民合用,且末县,2016-12-19,38.234516,85.465462
庆阳机场,庆阳,IQN,ZLQY,4C,民用,庆阳市,2005-12-26,35.802638,107.598896
奇台江布拉克机场,奇台江布拉克,JBK,ZWQT,4C,民用,奇台县,2024-08-08,44.166086,89.55014
景德镇罗家机场,景德镇罗家,JDZ,ZSJD,4C,民用,景德镇市,1996-09-10,29.3386,117.176003
大兴安岭鄂伦春机场,鄂伦春,JGD,ZYJD,4C,民用,加格达奇区 鄂伦春自治旗,2012-06-18,50.371389,124.1175
吉安井冈山机场,吉安井冈山,JGS,ZSGS,4C,军民合用,吉安市,2004-05-18,26.856899,114.737
金昌金川机场,金昌金川,JIC,ZLJC,4C,民用,金昌市,2011-08-29,38.542222,102.348333
黔江武陵山机场,黔江武陵山,JIQ,ZUQJ,4C,民用,黔江区,2010-11-22,29.5133333333,108.831111111
九江庐山机场,九江庐山,JIU,ZSJJ,4C,军民合用,九江市,2021-10-31,29.476944,115.801111
澜沧景迈机场,澜沧景迈,JMJ,ZPJM,4C,民用,澜沧拉祜族自治县,2017-05-26,22.417733,99.784012
佳木斯松江国际机场,佳木斯,JMU,ZYJM,4C,军民合用,佳木斯市,1966-09-12,46.842793,130.46426
济宁大安机场,济宁大安,JNG,ZSJG,4C,民用,济宁市,2023-12-28,35.647358,116.743269
锦州锦州湾机场,锦州锦州湾,JNZ,ZYJZ,4C,民用,锦州市,2015-12-10,40.936032,121.277114
赣州瑞金机场,赣州瑞金,JRJ,ZSRJ,4C,民用,瑞金市,2025-09-28,25.960236,116.077016
建三江湿地机场,建三江,JSJ,ZYJS,4C,民用,建三江管委会,2017-10-29,47.108248,132.65792
池州九华山机场,池州九华山,JUH,ZSJH,4C,民用,池州市,2013-07-29,30.7403,117.6856
衢州机场,衢州,JUZ,ZSJU,4C,军民合用,衢州市,1993-11-26,28.96613,118.898793
鸡西兴凯湖机场,鸡西兴凯湖,JXA,ZYJX,4C,民用,鸡西市,2009-10-16,45.293,131.193
库车龟兹机场,库车龟兹,KCA,ZWKC,4C,民用,库车市,2011-09-07,41.677856,82.872917
甘孜康定机场,康定,KGT,ZUKD,4C,民用,康定市,2008-10-22,30.142464,101.73872
凯里黄平机场,凯里黄平,KJH,ZUKJ,4C,民用,凯里市,2013-10-02,26.972,107.988
布尔津喀纳斯机场,喀纳斯,KJI,ZWKN,4C,民用,布尔津县,2007-08-15,48.2223,86.9959
赣州黄金机场,赣州黄金,KOW,ZSGZ,4C,民用,赣州市,2008-03-26,25.853333,114.778889
连城冠豸山机场,连城冠豸山,LCX,ZSLO,4C,军民合用,龙岩市,2004-04-25,25.67592,116.745907
伊春林都机场,伊春林都,LDS,ZYLD,4C,民用,伊春市,2009-08-27,47.752056,129.019125
临汾尧都机场,临汾尧都,LFQ,ZBLF,4C,民用,临汾市,2016-01-25,36.132629,111.641236
山南隆子机场,山南隆子,LGZ,ZUSH,4C,民用,隆子县,2022-12-23,28.422422,92.348082
丽水机场,丽水,LIJ,ZSLI,4C,民用,丽水市,2025-07-18,28.3727,119.839
黔南荔波机场,黔南荔波,LLB,ZULB,4C,民用,荔波县,2007-11-07,25.4525,107.961667
永州零陵机场,永州零陵,LLF,ZGLG,4C,军民合用,永州市,2001-04-30,26.338661,111.610043
吕梁大武机场,吕梁大武,LLV,ZBLL,4C,民用,吕梁市,2014-01-26,37.683333,111.142778
临沧博尚机场,临沧博尚,LNJ,ZPLC,4C,民用,临沧市,2001-03-25,23.7381,100.025002
陇南成县机场,陇南成县,LNL,ZLLN,4C,民用,陇南市,2018-03-25,33.789918,105.790014
六盘水月照机场,六盘水月照,LPF,ZUPS,4C,民用,六盘水市,2014-11-28,26.609417,104.979
巴音郭楞轮台机场,轮台,LTJ,ZWLT,4C,民用,轮台县,2026-06-12,41.59417,84.2925
德宏芒市国际机场,芒市,LUM,ZPMS,4C,民用,芒市,1990-04-10,24.4011,98.5317
阆中古城机场,阆中古城,LZG,ZULA,4C,民用,阆中市,2023-12-17,31.50191,106.034417
柳州白莲机场,柳州白莲,LZH,ZGZH,4C,军民合用,柳州市,1994-12-28,24.2075,109.390999
泸州云龙机场,泸州云龙,LZO,ZULZ,4C,军民合用,泸州市,2018-09-10,29.030357,105.468407
牡丹江海浪国际机场,牡丹江,MDG,ZYMD,4C,军民合用,牡丹江市,1985-09-02,44.525172,129.568634
梅州梅县机场,梅州梅县,MXZ,ZGMX,4C,民用,梅州市,1987-09-01,24.263425,116.097857
南充高坪机场,南充高坪,NAO,ZUNC,4C,军民合用,南充市,2004-08-14,30.798104,106.16415
齐齐哈尔三家子机场,齐齐哈尔三家子,NDG,ZYQQ,4C,军民合用,齐齐哈尔市,1988-05-16,47.229969,123.914179
宁蒗泸沽湖机场,宁蒗泸沽湖,NLH,ZPNL,4C,民用,宁蒗彝族自治县,2015-10-12,27.5403,100.7593
新源那拉提机场,新源那拉提,NLT,ZWNL,4C,民用,新源县,2006-07-15,43.4318,83.3786
扎兰屯成吉思汗机场,扎兰屯成吉思汗,NZL,ZBZL,4C,民用,扎兰屯市,2016-12-28,47.865942,122.768662
漠河古莲机场,漠河古莲,OHE,ZYMH,4C,民用,漠河市,2008-06-18,52.916871,122.422759
攀枝花保安营机场,攀枝花保安营,PZI,ZUZH,4C,民用,攀枝花市,2003-12-06,26.54,101.79852
莎车叶尔羌机场,莎车叶尔羌,QSZ,ZWSC,4C,民用,莎车县,2017-08-01,38.24542,77.056149
日照山字河机场,日照山字河,RIZ,ZSRZ,4C,民用,日照市,2015-12-22,35.405033,119.324403
日喀则和平机场,日喀则和平,RKZ,ZURK,4C,军民合用,日喀则市,2011-07-08,29.350876,89.299157
巴彦淖尔天吉泰机场,巴彦淖尔,RLK,ZBYZ,4C,民用,巴彦淖尔市,2011-12-30,40.926358,107.74093
若羌楼兰机场,若羌楼兰,RQA,ZWRQ,4C,民用,若羌县,2018-03-29,38.974722,88.008333
石河子花园机场,石河子花园,SHF,ZWHZ,4C,民用,石河子市,2015-12-26,44.2421,85.8905
荆州沙市机场,荆州沙市,SHS,ZHJZ,4C,民用,荆州市,2021-01-30,30.29281,112.44854
上饶三清山机场,上饶三清山,SQD,ZSSR,4C,民用,上饶市,2017-05-28,28.3797,117.9643
三明沙县机场,三明沙县,SQJ,ZSSM,4C,民用,三明市,2016-03-07,26.4263,117.8336
普洱思茅机场,普洱思茅,SYM,ZPSM,4C,军民合用,普洱市,1961-03-15,22.793301,100.959
朔州滋润机场,朔州滋润,SZH,ZBSG,4C,民用,朔州市,2023-12-18,39.273241,112.691552
塔城千泉机场,塔城千泉,TCG,ZWTC,4C,民用,塔城市,1995-09-28,46.672501,83.340797
腾冲驼峰机场,腾冲驼峰,TCZ,ZPTC,4C,民用,腾冲市,2009-01-23,24.938056,98.485833
铜仁凤凰机场,铜仁,TEN,ZUTR,4C,民用,铜仁市 凤凰县,2001-07-07,27.883333,109.308889
通辽机场,通辽,TGO,ZBTL,4C,民用,通辽市,1959-01-01,43.556702,122.199997
通化三源浦机场,通化三源浦,TNH,ZYTN,4C,军民合用,通化市,2014-06-18,42.048435,125.733963
唐山三女河机场,唐山三女河,TVS,ZBSN,4C,军民合用,唐山市,2010-07-13,39.7178,118.002625
图木舒克唐王城机场,图木舒克唐王城,TWC,ZWTS,4C,民用,图木舒克市,2018-12-26,39.886663,79.233408
乌兰察布集宁机场,乌兰察布,UCB,ZBUC,4C,民用,乌兰察布市,2016-04-25,41.130266,113.107274
十堰武当山机场,十堰武当山,WDS,ZHSY,4C,民用,十堰市,2016-02-05,32.592889,110.906296
邵阳武冈机场,邵阳武冈,WGN,ZGSY,4C,民用,武冈市,2017-06-28,26.806123,110.641042
芜湖宣州机场,芜湖宣州,WHA,ZSWA,4C,民用,芜湖市 宣城市,2021-04-30,31.1045,118.66687
遵义茅台机场,遵义茅台,WMT,ZUMT,4C,民用,仁怀市,2017-10-31,27.961837,106.435416
文山砚山机场,文山砚山,WNH,ZPWS,4C,民用,文山市,2006-08-30,23.5583,104.3255
重庆巫山机场,重庆巫山,WSK,ZUWS,4C,民用,巫山县,2019-08-16,31.06896,109.708958
乌海机场,乌海,WUA,ZBUH,4C,民用,乌海市,2003-12-12,39.7934,106.7993
武夷山机场,武夷山,WUS,ZSWY,4C,军民合用,武夷山市,1994-01-15,27.7019,118.000999
忻州五台山机场,忻州五台山,WUT,ZBXZ,4C,军民合用,忻州市,2015-12-25,38.597456,112.969173
梧州西江机场,梧州西江,WUZ,ZGWZ,4C,民用,梧州市,2019-01-23,23.40316,111.09331
万州五桥机场,万州五桥,WXN,ZUWX,4C,民用,万州区,2003-05-29,30.8017,108.433
信阳明港机场,信阳明港,XAI,ZHXY,4C,军民合用,信阳市 驻马店市,2018-10-28,32.540819,114.079141
锡林浩特机场,锡林浩特,XIL,ZBXH,4C,民用,锡林浩特市,1992-07-22,43.91559982299805,115.96399688720703
邢台褡裢机场,邢台褡裢,XNT,ZBXT,4C,军民合用,邢台市,2024-07-18,36.8831,114.4293
三沙永兴机场,三沙永兴,XYI,ZJYX,4C,军民合用,三沙市,2016-12-22,16.83278,112.34444
宜宾五粮液机场,宜宾五粮液,YBP,ZUYB,4C,军民合用,宜宾市,2019-12-05,28.858431,104.526157
宜春明月山机场,宜春明月山,YIC,ZSYC,4C,民用,宜春市,2013-06-26,27.8025,114.3062
阿尔山伊尔施机场,阿尔山,YIE,ZBES,4C,民用,阿尔山市,2011-08-28,47.3106,119.9117
伊犁伊宁国际机场,伊犁伊宁,YIN,ZWYN,4C,民用,伊宁市,1950-07-01,43.955799,81.330299
