name,iata,icao,flight_area_class,type,city,opened,lat,lon,source_name
且末玉都机场,IQM,ZWCM,4C,军民合用,且末县,2016-12-19,38.234516,85.465462,Qiemo Yudu Airport
庆阳机场,IQN,ZLQY,4C,民用,庆阳市,2005-12-26,35.802638,107.598896,Qingyang Xifeng Airport
奇台江布拉克机场,JBK,ZWQT,4C,民用,奇台县,2024-08-08,44.166086,89.55014,Qitai Jiangbulake Airport
景德镇罗家机场,JDZ,ZSJD,4C,民用,景德镇市,1996-09-10,29.3386,117.176003,Jingdezhen Luojia Airport
大兴安岭鄂伦春机场,JGD,ZYJD,4C,民用,加格达奇区 鄂伦春自治旗,2012-06-18,50.371389,124.1175,Daxing'anling Elunchun Airport
吉安井冈山机场,JGS,ZSGS,4C,军民合用,吉安市,2004-05-18,26.856899,114.737,Jinggangshan Airport
金昌金川机场,JIC,ZLJC,4C,民用,金昌市,2011-08-29,38.542222,102.348333,Jinchang Jinchuan Airport
黔江武陵山机场,JIQ,ZUQJ,4C,民用,黔江区,2010-11-22,29.5133333333,108.831111111,Qianjiang Wulingshan Airport
九江庐山机场,JIU,ZSJJ,4C,军民合用,九江市,2021-10-31,29.476944,115.801111,Jiujiang Lushan Airport
澜沧景迈机场,JMJ,ZPJM,4C,民用,澜沧拉祜族自治县,2017-05-26,22.417733,99.784012,Lancang Jingmai Airport
佳木斯松江国际机场,JMU,ZYJM,4C,军民合用,佳木斯市,1966-09-12,46.842793,130.46426,Jiamusi Songjiang International Airport
济宁大安机场,JNG,ZSJG,4C,民用,济宁市,2023-12-28,35.647358,116.743269,Jining Da'an Airport
锦州锦州湾机场,JNZ,ZYJZ,4C,民用,锦州市,2015-12-10,40.936032,121.277114,Jinzhou Bay Airport
赣州瑞金机场,JRJ,ZSRJ,4C,民用,瑞金市,2025-09-28,25.960236,116.077016,Ganzhou Ruijin Airport
建三江湿地机场,JSJ,ZYJS,4C,民用,建三江管委会,2017-10-29,47.108248,132.65792,Jiansanjiang Shidi Airport
池州九华山机场,JUH,ZSJH,4C,民用,池州市,2013-07-29,30.7403,117.6856,Chizhou Jiuhuashan Airport
衢州机场,JUZ,ZSJU,4C,军民合用,衢州市,1993-11-26,28.96613,118.898793,Quzhou Airport
鸡西兴凯湖机场,JXA,ZYJX,4C,民用,鸡西市,2009-10-16,45.293,131.193,Jixi Xingkaihu Airport
库车龟兹机场,KCA,ZWKC,4C,民用,库车市,2011-09-07,41.677856,82.872917,Kuqa Qiuci Airport
甘孜康定机场,KGT,ZUKD,4C,民用,康定市,2008-10-22,30.142464,101.73872,Kangding Airport
凯里黄平机场,KJH,ZUKJ,4C,民用,凯里市,2013-10-02,26.972,107.988,Kaili Huangping Airport
