name,iata,icao,flight_area_class,type,city,opened,lat,lon,source_name
鄂尔多斯伊金霍洛国际机场,DSN,ZBDS,4E,民用,鄂尔多斯市,2007-07-26,39.493514,109.8599,Ordos Ejin Horo International Airport
鄂州花湖国际机场,EHU,ZHEC,4E,民用,鄂州市,2022-07-17,30.341178,115.03926,Ezhou Huahu International Airport
海口美兰国际机场,HAK,ZJHK,4E,民用,海口市,1999-05-25,19.9349,110.459,Haikou Meilan International Airport
呼和浩特白塔国际机场,HET,ZBHH,4E,民用,呼和浩特市,1958-10-01,40.849658,111.824598,Hohhot Baita International Airport
合肥新桥国际机场,HFE,ZSOF,4E,民用,合肥市,2013-05-30,31.98779,116.9769,Hefei Xinqiao International Airport
哈尔滨太平国际机场,HRB,ZYHB,4E,民用,哈尔滨市,1979-04-01,45.623402,126.25,Harbin Taiping International Airport
银川河东国际机场,INC,ZLIC,4E,民用,银川市,1997-09-06,38.322758,106.393214,Yinchuan Hedong International Airport
嘉兴南湖机场,JNH,ZSJX,4E,军民合用,嘉兴市,2025-12-26,30.698056,120.663056,Jiaxing Nanhu Airport
喀什徕宁国际机场,KHG,ZWSH,4E,军民合用,喀什市,1953-09-01,39.542273,76.02023,Kashgar Laining International Airport
南昌昌北国际机场,KHN,ZSCN,4E,民用,南昌市,1999-09-10,28.864815,115.90271,Nanchang Changbei International Airport
贵阳龙洞堡国际机场,KWE,ZUGY,4E,民用,贵阳市,1997-05-28,26.541805,106.80402,Guiyang Longdongbao International Airport
桂林两江国际机场,KWL,ZGKL,4E,民用,桂林市,1996-10-01,25.219828,110.039553,Guilin Liangjiang International Airport
兰州中川国际机场,LHW,ZLLL,4E,民用,兰州市,1970-07-26,36.515202,103.620003,Lanzhou Zhongchuan International Airport
拉萨贡嘎国际机场,LXA,ZULS,4E,军民合用,拉萨市,1966-11-23,29.298001,90.911951,Lhasa Gonggar International Airport
宁波栎社国际机场,NGB,ZSNB,4E,民用,宁波市,1990-06-30,29.82670021057129,121.46199798583984,Ningbo Lishe International Airport
南宁吴圩国际机场,NNG,ZGNN,4E,军民合用,南宁市,1962-11-26,22.598071,108.181922,Nanning Wuxu International Airport
南通兴东国际机场,NTG,ZSNT,4E,民用,南通市,1993-08-24,32.073566,120.980076,Nantong Xingdong International Airport
上海虹桥国际机场,SHA,ZSSS,4E,民用,上海市,1964-04-29,31.198104,121.33426,Shanghai Hongqiao International Airport
沈阳桃仙国际机场,SHE,ZYTX,4E,民用,沈阳市,1989-04-16,41.6398,123.483668,Shenyang Taoxian International Airport
石家庄正定国际机场,SJW,ZBSJ,4E,民用,石家庄市,1995-02-18,38.280701,114.696999,Shijiazhuang Zhengding International Airport
揭阳潮汕国际机场,SWA,ZGOW,4E,民用,揭阳市 潮州市 汕头市,2011-12-15,23.552,116.5033,Jieyang Chaoshan International Airport
三亚凤凰国际机场,SYX,ZJSY,4E,民用,三亚市,1994-07-01,18.3029,109.412003,Sanya Phoenix International Airport
吐鲁番交河机场,TLQ,ZWTL,4E,民用,吐鲁番市,2010-07-09,43.0308,89.0987,Turpan Jiaohe Airport
济南遥墙国际机场,TNA,ZSJN,4E,民用,济南市,1992-07-26,36.857201,117.216003,Jinan Yaoqiang International Airport
天津滨海国际机场,TSN,ZBTJ,4E,民用,天津市,1950-08-01,39.124401092499994,117.346000671,Tianjin Binhai International Airport
太原武宿国际机场,TYN,ZBYN,4E,民用,太原市,1971-07-01,37.746899,112.627998,Taiyuan Wusu International Airport
温州龙湾国际机场,WNZ,ZSWZ,4E,民用,温州市,1990-07-04,27.910572,120.853465,Wenzhou Longwan International Airport
无锡硕放机场,WUX,ZSWX,4E,军民合用,无锡市 苏州市,2004-02-18,31.496952,120.43038,Sunan Shuofang International Airport
厦门高崎国际机场,XMN,ZSAM,4E,民用,厦门市,1983-10-22,24.543889,118.127454,Xiamen Gaoqi International Airport
西宁曹家堡国际机场,XNN,ZLXN,4E,民用,西宁市,1991-12-27,36.52775,102.040215,Xining Caojiabao International Airport
运城盐湖国际机场,YCU,ZBYC,4E,民用,运城市,2005-02-07,35.117823,111.034023,Yuncheng Yanhu International Airport
烟台蓬莱国际机场,YNT,ZSYT,4E,民用,烟台市,2015-05-28,37.659724,120.978124,Yantai Penglai International Airport
扬州泰州国际机场,YTY,ZSYA,4E,民用,扬州市 泰州市,2012-05-08,32.5634,119.7198,Yangzhou Taizhou Airport
湛江吴川国际机场,ZHA,ZGZJ,4E,民用,湛江市,2022-03-24,21.481667,110.590278,Zhanjiang Wuchuan International Airport
珠海金湾机场,ZUH,ZGSD,4E,民用,珠海市,1995-05-30,22.006399,113.375999,Zhuhai Jinwan Airport
广州白云国际机场,CAN,ZGGG,4F,民用,广州市,2004-08-05,23.392401,113.299004,Guangzhou Baiyun International Airport
郑州新郑国际机场,CGO,ZHCC,4F,民用,郑州市,1997-08-28,34.526497,113.849165,Zhengzhou Xinzheng International Airport
重庆江北国际机场,CKG,ZUCK,4F,民用,重庆市,1990-01-22,29.712254,106.651895,Chongqing Jiangbei International Airport
福州长乐国际机场,FOC,ZSFZ,4F,民用,福州市,1997-06-23,25.929254,119.672524,Fuzhou Changle International Airport
杭州萧山国际机场,HGH,ZSHC,4F,民用,杭州市,2000-12-28,30.23609,120.428865,Hangzhou Xiaoshan International Airport
昆明长水国际机场,KMG,ZPPP,4F,民用,昆明市,2012-06-28,25.110313,102.936743,Kunming Changshui International Airport
南京禄口国际机场,NKG,ZSNJ,4F,民用,南京市,1997-06-29,31.735032,118.865949,Nanjing Lukou International Airport
北京首都国际机场,PEK,ZBAA,4F,民用,北京市,1958-03-01,40.077349,116.596702,Beijing Capital International Airport
北京大兴国际机场,PKX,ZBAD,4F,民用,北京市,2019-09-25,39.501289,116.413967,Beijing Daxing International Airport
上海浦东国际机场,PVG,ZSPD,4F,民用,上海市,1999-09-16,31.1434,121.805,Shanghai Pudong International Airport
深圳宝安国际机场,SZX,ZGSZ,4F,民用,深圳市,1991-10-12,22.639474,113.803262,Shenzhen Bao'an International Airport
青岛胶东国际机场,TAO,ZSQD,4F,民用,青岛市,2021-08-12,36.361953,120.088171,Qingdao Jiaodong International Airport
成都天府国际机场,TFU,ZUTF,4F,民用,成都市,2021-06-27,30.31252,104.441284,Chengdu Tianfu International Airport
乌鲁木齐天山国际机场,URC,ZWWW,4F,民用,乌鲁木齐市,1950-07-01,43.913584,87.479372,Ürümqi Tianshan International Airport
武汉天河国际机场,WUH,ZHHH,4F,民用,武汉市,1994-12-29,30.774798,114.213723,Wuhan Tianhe International Airport
西安咸阳国际机场,XIY,ZLXY,4F,民用,西安市 咸阳市,1991-09-01,34.442207,108.762385,Xi'an Xianyang International Airport
